"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 09 04:08:14 UTC 2023","Wed Aug 09 04:08:18 UTC 2023","4279","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"passed","Wed Aug 09 04:07:42 UTC 2023","Wed Aug 09 04:08:02 UTC 2023","19189","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"passed","Wed Aug 09 04:00:40 UTC 2023","Wed Aug 09 04:04:55 UTC 2023","255232","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Wed Aug 09 04:42:26 UTC 2023","Wed Aug 09 04:42:28 UTC 2023","2199","","22. Individual Onboarding for Interactive Brokers","","","","12. Check Final Review",""
"passed","Wed Aug 09 03:39:00 UTC 2023","Wed Aug 09 03:39:04 UTC 2023","3869","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
"passed","Wed Aug 09 02:37:21 UTC 2023","Wed Aug 09 02:37:31 UTC 2023","10621","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","6. Complete Super Fund Entry",""
"passed","Wed Aug 09 02:51:40 UTC 2023","Wed Aug 09 02:52:40 UTC 2023","59562","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","12. Add another investor in Applicants",""
"passed","Wed Aug 09 03:12:20 UTC 2023","Wed Aug 09 03:12:21 UTC 2023","1146","","10. Client Portal - Account Dashboard","","","","6. Expand Ethics/Exclusions",""
"passed","Wed Aug 09 02:50:28 UTC 2023","Wed Aug 09 02:51:28 UTC 2023","59930","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","7. Complete Applicants",""
"passed","Wed Aug 09 02:48:26 UTC 2023","Wed Aug 09 02:48:34 UTC 2023","7936","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","2. Create a Joint Account",""
"passed","Wed Aug 09 03:12:18 UTC 2023","Wed Aug 09 03:12:20 UTC 2023","2100","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
"passed","Wed Aug 09 02:55:54 UTC 2023","Wed Aug 09 02:56:07 UTC 2023","13493","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","4. Complete Build Your Portfolio",""
"passed","Wed Aug 09 02:59:27 UTC 2023","Wed Aug 09 02:59:30 UTC 2023","2846","","6. Company Account","","","","3. Complete Investment Choice",""
"passed","Wed Aug 09 03:17:47 UTC 2023","Wed Aug 09 03:18:04 UTC 2023","17200","","12. Client Portal - Forms","","","","1. Direct user to “Forms” page",""
"passed","Wed Aug 09 02:36:02 UTC 2023","Wed Aug 09 02:36:26 UTC 2023","24460","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Wed Aug 09 03:31:17 UTC 2023","Wed Aug 09 03:31:49 UTC 2023","32781","","13. Client Portal - Change Portfolio","","","","4. Complete Build Your Portfolio",""
"passed","Wed Aug 09 02:59:17 UTC 2023","Wed Aug 09 02:59:27 UTC 2023","10063","","6. Company Account","","","","2. Create a Company Account",""
"passed","Wed Aug 09 03:48:15 UTC 2023","Wed Aug 09 03:48:36 UTC 2023","21409","","17.1 Create Test User on Live Portal","","","","5. Create a new user for Walk The World",""
"passed","Wed Aug 09 02:52:40 UTC 2023","Wed Aug 09 02:52:44 UTC 2023","4067","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","13. Review Final Review",""
"passed","Wed Aug 09 03:18:05 UTC 2023","Wed Aug 09 03:18:11 UTC 2023","5330","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
